"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Bestow Greatness","G","C","347834","6.85","52421","9.63","149093","46.3%","55.7%","24580","52.8%","35923","57.8%","60503","55.7%","88351","55.7%","0.0pp"
"Broken Wings","G","C","320834","5.76","49450","8.30","197695","65.4%","55.3%","33205","53.1%","48904","56.3%","82109","55.0%","114943","55.5%","-0.4pp"
"Defend the Rider","G","U","103468","4.24","20065","5.78","96535","79.0%","55.5%","16059","54.6%","23265","56.2%","39324","55.5%","57005","55.4%","0.2pp"
"District Mascot","G","R","20179","2.14","9304","2.22","51296","89.4%","56.8%","9246","63.9%","12161","54.3%","21407","58.4%","29224","55.4%","3.0pp"
"Dredger's Insight","G","U","119242","5.18","25375","6.61","100921","64.6%","56.6%","17973","57.3%","24880","57.2%","42853","57.3%","57641","56.1%","1.1pp"
"Earthrumbler","G","U","71523","3.15","21493","3.74","117947","89.8%","55.4%","19683","54.1%","29009","56.7%","48692","55.6%","66721","54.9%","0.7pp"
"Elvish Refueler","G","U","62655","2.75","21803","3.20","119734","90.4%","55.4%","21083","54.4%","29428","56.2%","50511","55.4%","68364","55.2%","0.2pp"
"Fang Guardian","G","U","88423","3.69","23261","4.65","128281","89.3%","56.2%","21626","55.0%","31322","57.7%","52948","56.6%","74473","55.9%","0.7pp"
"Fang-Druid Summoner","G","U","96835","4.13","26094","4.97","110246","68.2%","57.0%","18831","57.3%","26894","58.2%","45725","57.8%","63752","56.4%","1.4pp"
"Greenbelt Guardian","G","U","60583","2.63","24977","3.01","145917","94.3%","56.7%","26191","58.7%","35736","57.8%","61927","58.2%","83227","55.6%","2.5pp"
"Hazard of the Dunes","G","C","193731","3.38","59162","4.12","342832","93.8%","56.4%","58439","55.9%","86133","57.6%","144572","56.9%","196224","56.0%","0.9pp"
"Jibbirik Omnivore","G","C","306964","5.35","57815","7.41","270735","76.0%","56.0%","49018","57.0%","61029","53.9%","110047","55.3%","146880","56.4%","-1.1pp"
"Loxodon Surveyor","G","C","328317","5.93","48807","8.59","172053","57.8%","55.0%","30419","54.3%","40370","53.6%","70789","53.9%","100762","55.7%","-1.8pp"
"Lumbering Worldwagon","G","R","14227","1.53","10125","1.52","59916","93.1%","58.8%","10720","70.0%","14856","62.0%","25576","65.4%","33379","53.8%","11.6pp"
"March of the World Ooze","G","M","8173","1.83","4676","1.78","25905","88.7%","57.8%","4339","60.7%","6628","64.0%","10967","62.7%","14603","53.7%","9.0pp"
