"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"United Battlefront","W","R","3613","1.86","256","","123","8.2%","","18","","33","","51","","72","",""
"Voice of Victory","W","R","2205","1.22","1394","1.22","7973","92.1%","59.0%","1459","63.7%","1724","59.9%","3183","61.6%","4780","57.2%","4.4pp"
"Wayspeaker Bodyguard","W","U","21209","4.40","3577","5.65","16692","76.5%","57.5%","2796","54.4%","3593","56.2%","6389","55.4%","10299","58.7%","-3.3pp"
"Aegis Sculptor","U","U","23306","5.13","2793","7.30","9431","57.3%","52.0%","1557","52.2%","2477","54.9%","4034","53.8%","5268","50.4%","3.4pp"
"Agent of Kotis","U","C","69731","8.18","10113","11.38","14785","24.0%","52.3%","2617","49.9%","3710","52.5%","6327","51.4%","8401","52.9%","-1.5pp"
"Ambling Stormshell","U","R","2254","1.25","1275","1.26","6987","91.5%","55.2%","1181","59.3%","1839","61.4%","3020","60.6%","3864","50.8%","9.8pp"
"Bewildering Blizzard","U","U","23457","5.05","4995","6.42","21156","71.0%","54.4%","3477","50.8%","5918","58.8%","9395","55.8%","11549","53.2%","2.6pp"
"Constrictor Sage","U","U","18177","3.69","2079","5.08","9089","74.8%","52.7%","1531","48.5%","2401","55.1%","3932","52.6%","5072","52.7%","-0.1pp"
"Dirgur Island Dragon","U","C","62175","5.95","16692","7.66","84223","84.2%","54.6%","14413","52.2%","27778","58.7%","42191","56.5%","43917","53.0%","3.5pp"
"Dispelling Exhale","U","C","61937","5.84","16975","7.19","81595","79.4%","55.8%","14131","57.3%","22187","59.0%","36318","58.3%","44203","53.6%","4.8pp"
"Dragonologist","U","R","4052","2.02","2021","2.08","10691","88.3%","55.4%","1893","58.2%","2809","60.8%","4702","59.7%","5839","52.0%","7.7pp"
"Dragonstorm Forecaster","U","U","27777","7.19","8730","8.04","28139","52.9%","55.3%","4969","60.7%","7240","57.0%","12209","58.5%","15665","52.8%","5.7pp"
"Essence Anchor","U","U","26246","6.31","2411","9.28","3421","23.6%","51.5%","583","49.4%","916","54.8%","1499","52.7%","1889","50.6%","2.1pp"
"Focus the Mind","U","C","65225","6.60","10951","9.17","35932","54.1%","54.5%","5891","53.0%","9940","57.6%","15831","55.9%","19757","53.3%","2.6pp"
"Fresh Start","U","U","19712","4.06","4986","5.03","26494","88.4%","55.9%","4622","55.9%","7313","59.9%","11935","58.3%","14134","53.7%","4.6pp"
"Highspire Bell-Ringer","U","C","68589","7.72","7294","11.36","7709","17.6%","50.5%","1292","50.1%","2042","50.6%","3334","50.4%","4330","50.6%","-0.2pp"
"Humbling Elder","U","C","69989","8.58","10363","11.73","10115","16.0%","53.3%","1786","53.0%","2638","54.7%","4424","54.0%","5615","52.7%","1.4pp"
"Iceridge Serpent","U","C","67186","7.19","9530","10.27","20778","35.8%","54.7%","3368","53.3%","5746","57.3%","9114","55.8%","11372","53.6%","2.2pp"
"Kishla Trawlers","U","U","21600","4.50","5249","5.62","25241","80.8%","55.3%","4343","52.9%","6890","60.0%","11233","57.3%","13643","53.5%","3.8pp"
"Marang River Regent","U","R","1819","1.10","1451","1.10","8411","93.3%","58.6%","1436","63.8%","2544","70.4%","3980","68.0%","4390","49.9%","18.1pp"
"Naga Fleshcrafter","U","R","3019","1.61","1607","1.63","8629","89.4%","54.2%","1515","53.7%","2173","59.2%","3688","56.9%","4852","51.9%","5.1pp"
"Ringing Strike Mastery","U","C","69263","8.23","8419","11.67","8135","15.7%","50.8%","1414","47.9%","2089","54.1%","3503","51.6%","4583","50.0%","1.6pp"
"Riverwalk Technique","U","C","62274","5.97","8191","8.84","28112","56.8%","55.6%","4603","52.6%","8026","58.7%","12629","56.5%","15143","54.6%","2.0pp"
"Roiling Dragonstorm","U","U","15143","3.04","5032","3.48","27451","89.8%","56.4%","4975","59.7%","7231","60.8%","12206","60.4%","14834","52.9%","7.5pp"
"Sibsig Appraiser","U","C","46679","3.86","13253","4.74","74948","92.9%","56.4%","13249","57.6%","20325","60.3%","33574","59.2%","40359","54.0%","5.3pp"
"Snowmelt Stag","U","C","70557","8.99","10348","12.29","6120","9.7%","52.6%","1024","52.9%","1646","53.9%","2670","53.6%","3396","51.9%","1.7pp"
